STAT;LAT;LONG;h;WEEK
ICEP;19.0330229981543;-98.1875981952419;2150.2576849265;2250
IDGO;24.0674524117675;-104.607079792636;1863.08984011598;2250
IFSC;-27.5944306820304;-48.5420841394999;26.4819731768221;2250
IGM0;-34.5721976573774;-58.4393663310782;48.7956125037745;1251
IGM1;-34.5722420290111;-58.4393200394967;50.7123913979158;2250
IGN1;8.98488716947499;-79.5357530338353;47.5934602255002;2250
IISC;13.0211712951393;77.57038254722;843.666672924533;2190
ILHA;-20.4277821242364;-51.3433854500662;375.047722371295;2250
IMBT;-28.234836962922;-48.655722100628;31.3750987388194;2198
IMPZ;-5.49176355628283;-47.4972354206429;104.969552665949;2250
INEG;21.8561532696423;-102.28420473542;1887.23085481953;2250
INVK;68.3061827467282;-133.526966070533;46.3229598933831;2250
IPAZ;24.1452747016093;-110.330750661695;-14.8445666329935;2250
IQAL;63.7559647536389;-68.5105025872692;91.7300471980125;2250
IQQE;-20.2735391176741;-70.1317171544131;38.9749418171123;2250
IQUI;-3.76734473099579;-73.2687090086018;122.133966543712;1977
IRKM;52.2190231930436;104.316246669444;502.330600778572;2190
ISCO;5.54434890530032;-87.0558270319009;10.3440290139988;2089
ISPA;-27.1249835716281;-109.344402274137;112.486546020955;2035
ITAI;-25.4206758510756;-54.5882937222842;183.61415517889;2250
ITAM;-3.12536868368979;-58.431065184868;12.5967962313443;2016
JAMA;17.9390233912725;-76.7808719345712;-2.95722289197147;1440
JAMG;-15.3627040529316;-43.7668523697739;475.244705580175;2140
JBAL;-27.5844066394326;-65.6227492206924;409.177301891148;2250
JNEC;-1.55242186210117;-80.4251427396395;147.058564580046;2250
JPLM;34.2048220726364;-118.173233194455;423.982657167129;2250
JU03;-11.056632911526;-75.3277912821202;830.386924124323;2247
KAT1;-14.3759943762511;132.153277410465;184.293170027435;2190
KELY;66.9874199070537;-50.9448438886676;229.874917199835;2003
KERG;-49.3514672812894;70.2555233626581;73.0091655971482;2190
KIRU;67.8573537970635;20.9684539312667;391.075824966654;2190
KOKB;22.1262684565593;-159.664938884181;1167.35743269138;2250
KOUG;5.09847215542773;-52.6397506652563;107.250048118643;2250
KOUR;5.25218326028616;-52.8059603517917;-25.7640912700444;2250
KSU1;39.1007498484722;-96.6094830851193;325.571931390092;2250
KUJ2;55.2900075186773;-77.7352729358774;8.68158121500164;2243
KYW1;24.5822726010401;-81.6530332029868;-13.796814782545;1448
LAEC;0.0828978003127381;-76.8735661942337;324.353317744099;2250
LAUT;-17.6088088047071;177.446582522646;89.6658828482032;2190
